  0.0000,  0.0000,  0.0000
  0.0000,  0.0000,  0.0000
 -0.0037, -0.0001, -0.0001
 -0.0062, -0.0002, -0.0001
 -0.0070, -0.0002, -0.0001
 -0.0065, -0.0002, -0.0001
 -0.0030, -0.0001, -0.0001
  0.0018, -0.0000,  0.0000
  0.0062,  0.0001,  0.0002
  0.0113,  0.0003,  0.0003
  0.0150,  0.0004,  0.0006
  0.0166,  0.0005,  0.0008
  0.0140,  0.0004,  0.0010
  0.0096,  0.0004,  0.0013
  0.0029,  0.0003,  0.0017
 -0.0062,  0.0001,  0.0020
 -0.0145, -0.0001,  0.0024
 -0.0215, -0.0003,  0.0028
 -0.0263, -0.0004,  0.0032
 -0.0265, -0.0006,  0.0037
 -0.0230, -0.0007,  0.0041
 -0.0160, -0.0007,  0.0046
 -0.0064, -0.0006,  0.0051
  0.0058, -0.0005,  0.0056
  0.0180, -0.0003,  0.0062
  0.0275, -0.0000,  0.0067
  0.0347,  0.0002,  0.0073
  0.0377,  0.0005,  0.0079
  0.0344,  0.0007,  0.0084
  0.0270,  0.0009,  0.0090
  0.0158,  0.0009,  0.0097
  0.0019,  0.0010,  0.0103
 -0.0138,  0.0009,  0.0109
 -0.0282,  0.0007,  0.0115
 -0.0404,  0.0005,  0.0122
 -0.0490,  0.0002,  0.0128
 -0.0522, -0.0002,  0.0134
 -0.0506, -0.0005,  0.0141
 -0.0443, -0.0008,  0.0147
 -0.0330, -0.0011,  0.0154
 -0.0190, -0.0013,  0.0160
 -0.0035, -0.0015,  0.0166
  0.0116, -0.0015,  0.0173
  0.0261, -0.0015,  0.0179
  0.0383, -0.0013,  0.0185
  0.0461, -0.0011,  0.0191
  0.0506, -0.0008,  0.0197
  0.0513, -0.0004,  0.0203
  0.0470, -0.0000,  0.0209
  0.0398,  0.0003,  0.0215
  0.0300,  0.0007,  0.0220
  0.0183,  0.0010,  0.0226
  0.0050,  0.0013,  0.0231
 -0.0080,  0.0015,  0.0236
 -0.0205,  0.0016,  0.0241
 -0.0320,  0.0016,  0.0246
 -0.0414,  0.0015,  0.0251
 -0.0488,  0.0014,  0.0256
 -0.0543,  0.0012,  0.0260
 -0.0571,  0.0010,  0.0264
 -0.0580,  0.0007,  0.0268
 -0.0572,  0.0004,  0.0272
 -0.0551,  0.0001,  0.0276
 -0.0512, -0.0003,  0.0280
 -0.0465, -0.0006,  0.0283
 -0.0414, -0.0009,  0.0286
 -0.0357, -0.0012,  0.0289
 -0.0299, -0.0014,  0.0292
 -0.0246, -0.0016,  0.0294
 -0.0193, -0.0018,  0.0296
 -0.0146, -0.0019,  0.0298
 -0.0103, -0.0021,  0.0300
 -0.0072, -0.0021,  0.0301
 -0.0043, -0.0022,  0.0303
 -0.0020, -0.0023,  0.0304
 -0.0008, -0.0023,  0.0305
  0.0002, -0.0023,  0.0305
  0.0007, -0.0023,  0.0306
  0.0003, -0.0022,  0.0306
 -0.0002, -0.0022,  0.0306
 -0.0010, -0.0022,  0.0305
 -0.0023, -0.0021,  0.0305
 -0.0041, -0.0021,  0.0304
 -0.0059, -0.0021,  0.0303
 -0.0079, -0.0020,  0.0301
 -0.0104, -0.0020,  0.0300
 -0.0127, -0.0020,  0.0298
 -0.0152, -0.0019,  0.0296
 -0.0181, -0.0019,  0.0294
 -0.0208, -0.0019,  0.0291
 -0.0235, -0.0019,  0.0289
 -0.0264, -0.0019,  0.0286
 -0.0297, -0.0019,  0.0282
 -0.0327, -0.0019,  0.0279
 -0.0357, -0.0019,  0.0275
 -0.0391, -0.0018,  0.0272
 -0.0421, -0.0018,  0.0268
 -0.0452, -0.0018,  0.0263
 -0.0485, -0.0018,  0.0259
 -0.0516, -0.0018,  0.0254
 -0.0546, -0.0018,  0.0250
